Transaction_Type,Amount,Initial_Balance_Sender,Initial_Balance_Receiver,Final_Balance_Sender,Final_Balance_Receiver,Fraud
Cash-Out,0.24,14116.7,11928.82,14116.41,11928.82,1
Cash-Out,38113.81,2401.1,4255.71,0.0,4255.71,1
Payment,658.11,6981.68,4139.6,6323.57,4797.71,0
Cash-Out,1277.14,1754.73,16878.97,477.59,16878.97,0
Cash-In,1447.97,12863.11,19039.63,12863.11,20487.6,0
Cash-In,16219.82,5443.94,16886.2,5443.94,34728.0,1
Payment,849.77,14830.13,19989.57,13980.36,20839.34,0
Payment,665.75,17527.96,19795.19,16862.21,20460.94,0
Transfer,2016.74,11876.68,19767.1,9859.94,21783.84,0
Transfer,2496.39,13983.02,16177.56,11486.63,18673.95,0
Cash-Out,0.73,2695.75,18504.76,723.94,18504.76,1
Debit,190.73,10583.87,11901.33,10393.14,11901.33,0
Debit,127.37,7730.29,14839.15,7602.92,14839.15,0
Transfer,2302.4,16364.2,13100.14,14061.8,15402.54,0
Cash-In,21290.17,12127.08,17039.98,12127.08,40459.17,1
Debit,780.49,3833.06,4336.81,3052.57,4336.81,0
Payment,32802.03,17335.05,9007.41,10182.22,45089.64,1
Cash-In,1673.89,16490.19,14260.39,16490.19,15934.28,0
Cash-Out,36390.44,10486.48,1870.04,5897.63,1870.04,1
Payment,320.0,17184.83,19910.78,16864.83,20230.78,0
Cash-In,2237.71,4863.96,9422.91,4863.96,11660.62,0
Debit,0.52,10671.76,12174.42,10671.14,12174.42,1
Debit,683.62,13098.45,17741.3,12414.83,17741.3,0
Payment,0.22,11338.04,14623.13,11337.78,14623.37,1
Cash-In,1197.56,13906.04,8590.42,13906.04,9787.98,0
Transfer,0.64,8740.62,1995.25,8739.85,1995.95,1
Cash-Out,35830.7,15239.83,14506.35,2436.31,14506.35,1
Debit,673.89,18056.61,8556.14,17382.72,8556.14,0
Transfer,1430.88,3805.2,15335.22,2374.32,16766.1,0
Cash-In,46785.6,280.95,13417.75,280.95,64881.91,1
Cash-Out,1257.94,19462.0,15470.21,18204.06,15470.21,0
Payment,7838.68,137.56,8002.55,47.28,16625.1,1
Cash-Out,0.65,6765.77,1542.44,6764.99,1542.44,1
Debit,763.57,16797.34,3072.13,16033.77,3072.13,0
Cash-In,2385.66,9466.28,15276.09,9466.28,17661.75,0
Transfer,1143.24,17225.8,15912.88,16082.56,17056.12,0
Cash-In,399.13,6079.06,9070.44,6079.06,9469.57,0
Cash-In,231.72,14151.94,14870.85,14151.94,15102.57,0
Debit,55.44,11818.97,4224.48,11763.53,4224.48,0
Debit,199.89,16079.69,4940.31,15879.8,4940.31,0
Payment,40.0,15814.57,9801.4,15774.57,9841.4,0
Cash-Out,211.76,2265.66,3887.43,2053.9,3887.43,0
Cash-In,134.79,2139.22,7113.91,2139.22,7248.7,0
Debit,674.84,18695.87,8013.35,18021.03,8013.35,0
Transfer,4233.39,12734.71,4548.86,8501.32,8782.25,0
Cash-Out,1331.77,11666.15,10085.91,10334.38,10085.91,0
Payment,109.45,7430.34,15124.62,7320.89,15234.07,0
Payment,959.34,10059.25,3273.76,9099.91,4233.1,0
Cash-Out,1453.93,6521.24,16591.29,5067.31,16591.29,0
Cash-In,41863.55,4373.82,9657.93,4373.82,55707.84,1
Cash-Out,29047.57,2541.66,5317.93,0.0,5317.93,1
Payment,156.22,4169.91,19077.9,4013.69,19234.12,0
Transfer,16051.81,18594.06,13818.09,5795.3,31475.08,1
Cash-In,1451.75,2604.9,5428.56,2604.9,6880.31,0
Cash-Out,15128.37,11005.78,5787.14,8906.46,5787.14,1
Debit,209.89,19747.55,2653.6,19537.66,2653.6,0
Cash-In,9026.87,18418.61,16072.63,18418.61,26002.19,1
Debit,0.17,14301.52,143.21,11539.97,143.21,1
Payment,700.16,17589.77,848.62,16889.61,1548.78,0
Cash-In,1770.43,7103.74,10800.68,7103.74,12571.11,0
Cash-Out,14630.1,11717.57,18557.83,0.0,18557.83,1
Payment,619.06,9592.8,18314.22,8973.74,18933.28,0
Transfer,3843.07,12029.26,19699.95,8186.19,23543.02,0
Debit,94.86,948.41,14319.31,853.55,14319.31,0
Transfer,0.78,12298.64,19537.7,12297.7,19538.56,1
Cash-Out,1274.86,8611.85,14247.31,7336.99,14247.31,0
Debit,32150.1,9137.32,3711.97,7191.66,3711.97,1
Cash-Out,23349.7,14937.62,7475.83,0.0,7475.83,1
Cash-In,23486.7,825.85,5652.72,825.85,31488.09,1
Transfer,25092.31,11445.39,2639.58,5101.37,30241.12,1
Payment,398.93,7870.18,4076.72,7471.25,4475.65,0
Cash-Out,927.65,19951.69,17558.1,19024.04,17558.1,0
Payment,24424.08,6923.68,16003.19,0.0,42869.68,1
Payment,8013.55,16155.39,272.88,587.92,9087.79,1
Payment,0.28,9144.36,10750.99,1842.23,10751.3,1
Cash-In,1949.25,16303.32,1643.76,16303.32,3593.01,0
Payment,807.6,8481.53,9933.0,7673.93,10740.6,0
Payment,0.35,5235.42,3461.99,1866.95,3462.38,1
Cash-Out,35871.89,8088.84,19805.86,0.0,19805.86,1
Cash-In,2273.78,4602.17,4288.95,4602.17,6562.73,0
Debit,374.08,13999.05,9605.78,13624.97,9605.78,0
Cash-Out,0.89,2506.62,1941.01,2498.99,1941.01,1
Cash-Out,1651.81,18723.71,1397.89,17071.9,1397.89,0
Cash-Out,548.45,19390.36,499.93,18841.91,499.93,0
Debit,636.73,12179.43,15415.65,11542.7,15415.65,0
Transfer,28026.23,6777.39,14092.83,954.53,44921.68,1
Cash-In,23339.85,3562.6,564.81,3562.6,26238.65,1
Payment,934.89,17566.31,6211.44,16631.42,7146.33,0
Debit,42161.18,13585.52,15096.68,11450.94,15096.68,1
Transfer,844.51,14261.33,6019.18,13416.82,6863.69,0
Cash-In,35281.21,17897.73,13285.23,17897.73,52094.56,1
Transfer,3130.46,12147.56,8172.77,9017.1,11303.23,0
Payment,49655.14,4462.19,19537.03,4160.73,74157.68,1
Transfer,20755.28,1447.03,7464.92,239.65,30295.73,1
Debit,299.75,3347.5,13480.36,3047.75,13480.36,0
Cash-Out,1578.03,19318.8,17876.82,17740.77,17876.82,0
Payment,878.37,16412.36,2636.46,15533.99,3514.83,0
Payment,51.63,2337.74,6369.01,2286.11,6420.64,0
Payment,12.2,15178.47,2487.08,15166.27,2499.28,0
Cash-Out,396.74,6395.92,15120.15,5999.18,15120.15,0
Transfer,4543.65,8336.75,7912.59,3793.1,12456.24,0
Cash-In,22991.52,16605.44,18632.03,16605.44,43922.7,1
Cash-Out,23129.74,11874.21,7962.18,8215.34,7962.18,1
Transfer,29388.33,17400.19,3590.4,0.0,35917.56,1
Payment,33434.92,4638.63,2806.15,2691.03,39584.56,1
Cash-In,0.38,13864.08,17098.38,13864.08,17098.8,1
Cash-Out,18177.05,17322.38,11689.31,7779.52,11689.31,1
Cash-In,1990.29,8780.15,19731.3,8780.15,21721.59,0
Transfer,2483.75,2506.4,9406.68,22.65,11890.43,0
Cash-Out,293.16,6339.22,7442.11,6046.06,7442.11,0
Cash-Out,19447.95,15652.78,2916.7,13852.74,2916.7,1
Cash-In,18584.4,7655.78,5153.74,7655.78,25596.58,1
Debit,120.78,11952.34,14241.72,11831.56,14241.72,0
Transfer,4067.71,13002.77,2059.97,8935.06,6127.68,0
Debit,229.54,17515.67,13948.5,17286.13,13948.5,0
Payment,667.3,6869.09,10355.66,6201.79,11022.96,0
Debit,136.91,17279.66,6896.72,17142.75,6896.72,0
Transfer,218.84,226.63,1862.22,7.79,2081.06,0
Transfer,43139.39,11368.51,18914.87,331.19,66368.2,1
Cash-Out,249.69,17435.15,4528.81,17185.46,4528.81,0
Cash-Out,958.38,7784.18,9332.78,6825.8,9332.78,0
Cash-In,2397.77,9904.84,5036.04,9904.84,7433.81,0
Transfer,4909.01,19461.1,5370.36,14552.09,10279.37,0
Payment,862.73,6135.06,3633.53,5272.33,4496.26,0
Cash-Out,1535.03,15568.57,11005.21,14033.54,11005.21,0
Debit,23931.27,12916.53,1620.63,0.0,1620.63,1
Transfer,3006.0,12105.42,3245.47,9099.42,6251.47,0
Cash-Out,169.94,5879.23,17293.3,5709.29,17293.3,0
Debit,60.04,18762.29,299.41,18702.25,299.41,0
Cash-In,1005.74,3189.75,3457.95,3189.75,4463.69,0
Cash-In,0.94,2920.69,11917.54,2920.69,11918.57,1
Payment,480.07,5497.12,8925.36,5017.05,9405.43,0
Debit,887.76,5644.6,4656.84,4756.84,4656.84,0
Transfer,25772.58,8641.41,9083.83,49.14,37433.67,1
Transfer,4210.74,3258.89,15969.84,0.0,20180.58,0
Cash-Out,523.74,7563.29,11539.86,7039.55,11539.86,0
Transfer,4567.43,6014.22,9581.98,1446.79,14149.41,0
Payment,16.79,3225.04,2268.47,3208.25,2285.26,0
Cash-In,2207.75,4207.2,18229.3,4207.2,20437.05,0
Debit,169.27,8238.43,10836.78,8069.16,10836.78,0
Debit,80.05,11640.62,66.13,11560.57,66.13,0
Cash-Out,28924.2,11248.44,11305.46,0.0,11305.46,1
Debit,394.16,8058.41,8472.43,7664.25,8472.43,0
Payment,47968.13,19763.6,1410.93,8032.81,54175.87,1
Cash-Out,604.56,13692.95,10749.92,13088.39,10749.92,0
Transfer,1912.63,2007.32,11370.4,94.69,13283.03,0
Payment,170.18,13620.78,11537.71,13450.6,11707.89,0
Cash-Out,14982.05,6298.55,11991.68,5525.57,11991.68,1
Payment,218.11,7392.76,3954.47,7174.65,4172.58,0
Debit,867.26,13895.36,8172.81,13028.1,8172.81,0
Transfer,15349.59,719.84,16971.25,0.0,33855.8,1
Cash-Out,152.86,3319.74,4558.95,3166.88,4558.95,0
Cash-In,15806.97,11604.0,19333.78,11604.0,36721.45,1
Cash-In,1508.79,13953.28,12394.04,13953.28,13902.83,0
Payment,949.85,12851.38,10141.51,11901.53,11091.36,0
Debit,30812.71,10491.89,2505.43,8845.93,2505.43,1
Debit,6761.52,2259.22,5999.25,1044.9,5999.25,1
Transfer,20223.94,1650.31,2922.31,1516.69,25168.64,1
Cash-In,38740.81,8073.58,5451.27,8073.58,48066.16,1
Debit,214.56,12608.51,18091.26,12393.95,18091.26,0
Cash-In,1223.29,3238.19,8368.94,3238.19,9592.23,0
Debit,0.82,13214.64,14225.29,13213.66,14225.29,1
Cash-Out,16016.57,10975.45,1059.25,0.0,1059.25,1
Payment,113.32,8322.61,17689.49,8209.29,17802.81,0
Debit,302.94,1345.95,10423.8,1043.01,10423.8,0
Cash-Out,1989.33,4874.34,16590.18,2885.01,16590.18,0
Payment,19497.6,4105.19,11951.21,3986.03,33398.57,1
Transfer,25128.73,14590.36,16727.51,3808.64,44369.11,1
Cash-In,1720.5,5581.16,19235.18,5581.16,20955.68,0
Debit,779.6,10835.2,17559.69,10055.6,17559.69,0
Transfer,1309.16,1238.79,17628.72,0.0,18937.88,0
Transfer,0.07,17814.65,11950.27,8040.07,11950.35,1
Payment,561.86,14150.48,14325.07,13588.62,14886.93,0
Cash-Out,1680.28,14614.49,13381.71,12934.21,13381.71,0
Cash-In,45770.37,17118.43,2716.0,17118.43,53063.41,1
Cash-Out,796.64,13791.69,16898.29,12995.05,16898.29,0
Payment,575.49,14921.61,6847.19,14346.12,7422.68,0
Cash-In,0.75,10321.17,471.93,10321.17,472.76,1
Cash-In,2438.63,19465.57,10297.4,19465.57,12736.03,0
Transfer,2507.04,504.44,9117.98,0.0,11625.02,0
Cash-Out,1692.85,14526.56,1249.8,12833.71,1249.8,0
Cash-In,47648.33,11286.47,5079.04,11286.47,57492.2,1
Cash-Out,30793.33,8799.21,12035.43,0.0,12035.43,1
Cash-In,345.17,10348.86,6943.2,10348.86,7288.37,0
Cash-In,37179.46,8911.8,17253.26,8911.8,58150.67,1
Cash-In,2042.19,1771.74,16244.0,1771.74,18286.19,0
Payment,405.74,19554.01,6277.42,19148.27,6683.16,0
Cash-In,1563.96,12645.3,13172.28,12645.3,14736.24,0
Payment,45336.71,9564.35,1325.78,5762.71,51196.16,1
Transfer,4444.94,2423.71,5925.18,0.0,10370.12,0
Transfer,1629.65,8977.89,999.72,7348.24,2629.37,0
Cash-Out,1908.76,4872.99,14389.32,2964.23,14389.32,0
Cash-In,1995.83,4931.69,8365.49,4931.69,10361.32,0
Payment,43838.95,562.24,8988.25,338.87,57211.1,1
Payment,783.08,578.24,8895.43,0.0,9678.51,0
Payment,159.44,9688.65,3069.54,9529.21,3228.98,0
Payment,669.29,10785.66,16640.38,10116.37,17309.67,0
Transfer,3222.79,14049.1,15804.31,10826.31,19027.1,0
Payment,831.9,2707.73,9432.95,1875.93,10265.75,0
Cash-Out,14217.8,5895.29,8404.8,0.0,8404.8,1
Debit,7395.76,2488.59,3898.39,0.0,3898.39,1
Cash-In,1916.03,15925.39,10724.22,15925.39,12640.25,0
Transfer,1.0,11272.36,18251.1,2754.44,18252.2,1
Cash-Out,35747.15,9652.94,12449.74,4023.4,12449.74,1
Payment,18484.06,7510.03,19798.75,0.0,40131.22,1
Cash-Out,1152.65,14550.08,3997.01,13397.43,3997.01,0
Debit,269.18,7252.05,5037.77,6982.87,5037.77,0
Debit,0.66,4812.04,8042.94,2362.48,8042.94,1
Debit,43.13,13800.43,1659.29,13757.3,1659.29,0
Debit,635.29,16529.53,9821.32,15894.24,9821.32,0
Debit,36881.49,11327.05,7980.88,10800.49,7980.88,1
Payment,14357.84,14821.2,13857.21,10091.17,29650.83,1
Payment,860.62,13143.98,5546.43,12283.36,6407.05,0
Cash-Out,35367.59,4635.82,4268.96,2268.16,4268.96,1
Transfer,48863.78,11052.8,19216.91,265.44,72967.07,1
Cash-In,360.15,18245.18,7134.47,18245.18,7494.62,0
Debit,254.73,481.58,435.02,226.85,435.02,0
Cash-In,2973.14,33.48,18937.21,33.48,21910.35,0
Cash-Out,1195.11,14826.89,19495.1,13631.78,19495.1,0
Debit,840.64,3870.82,5428.31,3030.18,5428.31,0
Debit,0.96,11561.35,17438.89,11560.2,17438.89,1
Cash-Out,5653.34,8225.28,7963.24,6327.03,7963.24,1
Transfer,2092.93,19810.03,8067.51,17717.1,10160.44,0
Cash-In,2807.38,15316.74,10560.05,15316.74,13367.43,0
Cash-Out,1022.61,11064.31,14504.31,10041.7,14504.31,0
Debit,942.39,11684.25,17051.01,10741.86,17051.01,0
Debit,0.42,3383.32,3234.16,1711.27,3234.16,1
Cash-In,42687.13,4623.21,13814.75,4623.21,60770.59,1
Transfer,0.44,18560.43,13287.7,18559.9,13288.18,1
Transfer,3437.06,12772.2,13817.93,9335.14,17254.99,0
Cash-In,659.83,922.37,17980.36,922.37,18640.19,0
Debit,0.93,13829.51,754.65,10529.45,754.65,1
Debit,46030.45,14219.91,13420.54,5249.07,13420.54,1
Cash-Out,39349.45,12471.72,5945.48,5526.82,5945.48,1
Transfer,1946.76,8657.32,19141.66,6710.56,21088.42,0
Cash-In,13402.45,5412.33,17857.63,5412.33,32600.33,1
Transfer,1491.02,1811.76,11708.98,320.74,13200.0,0
Cash-Out,406.24,18807.46,11244.66,18401.22,11244.66,0
Cash-In,1645.91,3379.57,1715.23,3379.57,3361.14,0
Cash-Out,18319.82,18047.29,5952.94,5838.5,5952.94,1
Payment,23.12,15201.48,19483.6,15178.36,19506.72,0
Payment,974.52,11835.44,8774.45,10860.92,9748.97,0
Cash-Out,0.92,512.05,11087.25,279.24,11087.25,1
Cash-Out,1131.48,6260.4,10852.28,5128.92,10852.28,0
Cash-Out,1136.68,932.63,15744.38,0.0,15744.38,0
Transfer,3345.96,18813.27,10848.53,15467.31,14194.49,0
Cash-In,974.31,10371.76,17469.05,10371.76,18443.36,0
Payment,350.97,3876.33,1920.38,3525.36,2271.35,0
Cash-In,85.3,4752.04,14609.67,4752.04,14694.97,0
Cash-Out,1844.0,5983.47,19408.44,4139.47,19408.44,0
Transfer,40876.46,14096.68,14612.98,10918.08,59577.09,1
Transfer,12931.33,8205.9,1603.51,4093.26,15827.97,1
Debit,0.92,17753.86,3477.86,9533.19,3477.86,1
Payment,781.26,5698.18,6769.08,4916.92,7550.34,0
Cash-In,40321.73,9987.78,16679.14,9987.78,61033.04,1
Payment,259.05,19935.13,6118.57,19676.08,6377.62,0
Cash-Out,1515.57,3380.51,17479.97,1864.94,17479.97,0
Payment,203.03,19423.73,3573.47,19220.7,3776.5,0
Transfer,23119.73,1994.83,1801.84,248.93,27233.54,1
Transfer,129.85,13388.29,18391.94,13258.44,18521.79,0
Transfer,1472.66,2591.61,3028.67,1118.95,4501.33,0
Payment,43993.33,13358.9,18003.95,3992.7,66396.61,1
Cash-In,40528.3,1140.89,3084.58,1140.89,47665.71,1
Cash-In,276.06,9402.62,18119.89,9402.62,18395.95,0
Debit,627.43,12402.55,8545.9,11775.12,8545.9,0
Cash-Out,890.81,1663.14,5648.04,772.33,5648.04,0
Cash-In,1280.92,18250.02,8378.45,18250.02,9659.37,0
Payment,40725.66,9335.06,14110.28,0.0,58908.51,1
Cash-In,897.69,10376.82,7344.13,10376.82,8241.82,0
Debit,20.16,17166.66,19007.28,17146.5,19007.28,0
Cash-In,2047.28,9279.28,14561.47,9279.28,16608.75,0
Transfer,48466.21,13435.69,18137.5,0.0,71450.33,1
Transfer,2910.12,4909.66,15875.23,1999.54,18785.35,0
Debit,28335.5,5193.16,10059.42,3552.56,10059.42,1
Cash-In,48105.38,17929.01,12267.48,17929.01,65183.4,1
Debit,37905.19,18176.69,386.42,2884.2,386.42,1
Payment,26.0,336.9,213.54,311.63,240.27,0
Transfer,3653.62,4661.41,5432.27,1007.79,9085.89,0
Transfer,25038.35,9170.8,16809.14,1761.07,44351.33,1
Transfer,0.61,10263.72,2613.68,2533.88,2614.35,1
Debit,33042.01,17577.51,2595.77,1280.34,2595.77,1
Cash-Out,48495.29,19034.5,1054.83,11240.37,1054.83,1
Payment,22508.97,3453.89,33.42,0.0,24793.29,1
Cash-In,24.54,1985.45,8476.26,1985.45,8500.8,0
Cash-In,18202.48,19060.06,6069.05,19060.06,26091.78,1
Debit,868.66,4015.26,18964.54,3146.6,18964.54,0
Debit,0.46,17587.71,16481.68,17587.16,16481.68,1
Transfer,0.8,4252.11,19823.38,4251.15,19824.26,1
Payment,574.76,6376.77,18251.49,5802.01,18826.25,0
Payment,794.33,10936.12,7638.95,10141.79,8433.28,0
Cash-In,10708.13,4955.53,17221.68,4955.53,29000.62,1
Payment,8422.78,8699.25,18088.37,0.0,27353.43,1
Debit,765.23,8691.14,17643.23,7925.91,17643.23,0
Transfer,3026.99,11887.39,17153.45,8860.4,20180.44,0
Cash-Out,0.29,12062.24,8932.04,4326.03,8932.04,1
Transfer,1697.99,16787.31,9767.79,15089.32,11465.78,0
Cash-Out,34262.02,14601.92,13414.0,0.0,13414.0,1
Cash-In,32909.23,5518.44,16547.1,5518.44,52747.25,1
Cash-In,33075.88,1901.43,17262.51,1901.43,53645.98,1
Transfer,1974.73,19098.69,15115.59,17123.96,17090.32,0
Cash-Out,1482.11,9002.98,4829.36,7520.87,4829.36,0
Transfer,3541.94,2469.47,17302.17,0.0,20844.11,0
Cash-In,2335.73,1763.82,4388.9,1763.82,6724.63,0
Payment,19266.36,16073.9,18713.82,0.0,39906.82,1
Payment,0.92,9875.2,9056.01,9874.1,9057.02,1
Transfer,4306.04,18103.54,18966.87,13797.5,23272.91,0
Debit,565.27,70.43,10892.35,0.0,10892.35,0
Cash-Out,11603.4,19640.68,15385.15,17871.06,15385.15,1
Payment,521.8,6209.83,8197.18,5688.03,8718.98,0
Payment,39401.25,19331.65,7272.52,208.41,50613.9,1
Transfer,0.89,137.88,1267.82,2.44,1268.8,1
Cash-Out,44288.77,1157.35,4480.29,660.66,4480.29,1
Cash-Out,30069.75,3913.79,18831.13,610.31,18831.13,1
Cash-In,52.0,13812.36,1983.95,13812.36,2035.95,0
